admin1,month,protest_count,repression_events,protest_count_t1
Bangka-Belitung,2019-10-01,0,0,4
Bangka-Belitung,2019-11-01,4,0,2
Bangka-Belitung,2019-12-01,2,0,0
Bangka-Belitung,2020-01-01,0,0,2
Bangka-Belitung,2020-02-01,2,0,2
Bangka-Belitung,2020-03-01,2,0,0
Bangka-Belitung,2020-04-01,0,0,0
Bangka-Belitung,2020-05-01,0,0,0
Bangka-Belitung,2020-06-01,0,0,0
Bangka-Belitung,2020-07-01,0,0,1
Bangka-Belitung,2020-08-01,1,0,2
Bangka-Belitung,2020-09-01,2,0,1
Bangka-Belitung,2020-10-01,1,0,2
Bangka-Belitung,2020-11-01,2,1,1
Bangka-Belitung,2020-12-01,1,0,0
Bangka-Belitung,2021-01-01,0,0,0
Bangka-Belitung,2021-02-01,0,0,0
Bangka-Belitung,2021-03-01,0,0,0
Bangka-Belitung,2021-04-01,0,0,0
Bangka-Belitung,2021-05-01,0,0,0
Bangka-Belitung,2021-06-01,0,0,1
Bangka-Belitung,2021-07-01,1,0,2
Bangka-Belitung,2021-08-01,2,0,0
Bangka-Belitung,2021-09-01,0,0,1
Bangka-Belitung,2021-10-01,1,0,3
Bangka-Belitung,2021-11-01,3,0,1
Bangka-Belitung,2021-12-01,1,0,3
Bangka-Belitung,2022-01-01,3,0,2
Bangka-Belitung,2022-02-01,2,0,2
Bangka-Belitung,2022-03-01,2,0,4
Bangka-Belitung,2022-04-01,4,0,2
Bangka-Belitung,2022-05-01,2,0,1
Bangka-Belitung,2022-06-01,1,0,1
Bangka-Belitung,2022-07-01,1,0,3
Bangka-Belitung,2022-08-01,3,0,5
Bangka-Belitung,2022-09-01,5,0,1
Bangka-Belitung,2022-10-01,1,0,2
Bangka-Belitung,2022-11-01,2,0,1
Bangka-Belitung,2022-12-01,1,0,1
Bangka-Belitung,2023-01-01,1,0,1
Bangka-Belitung,2023-02-01,1,0,2
Bangka-Belitung,2023-03-01,2,0,0
Bangka-Belitung,2023-04-01,0,0,11
Bangka-Belitung,2023-05-01,11,0,3
Bangka-Belitung,2023-06-01,3,0,6
Bangka-Belitung,2023-07-01,6,0,3
Bangka-Belitung,2023-08-01,3,0,2
Bangka-Belitung,2023-09-01,2,0,9
Bangka-Belitung,2023-10-01,9,0,1
Bangka-Belitung,2023-11-01,1,0,5
Bangka-Belitung,2023-12-01,5,0,4
Bangka-Belitung,2024-01-01,4,0,0
Bangka-Belitung,2024-02-01,0,0,0
Bangka-Belitung,2024-03-01,0,0,1
Bangka-Belitung,2024-04-01,1,0,4
Bangka-Belitung,2024-05-01,4,0,1
Bangka-Belitung,2024-06-01,1,0,3
Bangka-Belitung,2024-07-01,3,0,8
Bangka-Belitung,2024-08-01,8,0,6
Bangka-Belitung,2024-09-01,6,0,4
Bangka-Belitung,2024-10-01,4,0,2
Bangka-Belitung,2024-11-01,2,0,6
Bangka-Belitung,2024-12-01,6,0,7
Bangka-Belitung,2025-01-01,7,0,NA
Banten,2019-01-01,2,0,0
Banten,2019-02-01,0,0,1
Banten,2019-03-01,1,0,1
Banten,2019-04-01,1,0,2
Banten,2019-05-01,2,0,1
Banten,2019-06-01,1,0,2
Banten,2019-07-01,2,0,2
Banten,2019-08-01,2,0,2
Banten,2019-09-01,2,0,4
Banten,2019-10-01,4,0,1
Banten,2019-11-01,1,0,2
Banten,2019-12-01,2,0,2
Banten,2020-01-01,2,0,1
Banten,2020-02-01,1,0,1
Banten,2020-03-01,1,0,0
Banten,2020-04-01,0,0,2
Banten,2020-05-01,2,0,4
Banten,2020-06-01,4,0,4
Banten,2020-07-01,4,0,4
Banten,2020-08-01,4,0,1
Banten,2020-09-01,1,0,13
Banten,2020-10-01,13,1,7
Banten,2020-11-01,7,2,3
Banten,2020-12-01,3,1,1
Banten,2021-01-01,1,0,0
Banten,2021-02-01,0,0,6
Banten,2021-03-01,6,0,2
Banten,2021-04-01,2,0,5
Banten,2021-05-01,5,0,3
Banten,2021-06-01,3,0,5
Banten,2021-07-01,5,3,2
Banten,2021-08-01,2,0,3
Banten,2021-09-01,3,1,12
Banten,2021-10-01,12,2,19
Banten,2021-11-01,19,0,5
Banten,2021-12-01,5,0,8
Banten,2022-01-01,8,0,7
Banten,2022-02-01,7,0,3
Banten,2022-03-01,3,0,7
Banten,2022-04-01,7,0,2
Banten,2022-05-01,2,0,5
Banten,2022-06-01,5,1,4
Banten,2022-07-01,4,0,12
Banten,2022-08-01,12,1,21
Banten,2022-09-01,21,0,5
Banten,2022-10-01,5,0,8
Banten,2022-11-01,8,0,6
Banten,2022-12-01,6,0,4
Banten,2023-01-01,4,0,1
Banten,2023-02-01,1,0,3
Banten,2023-03-01,3,0,4
Banten,2023-04-01,4,0,9
Banten,2023-05-01,9,0,3
Banten,2023-06-01,3,0,5
Banten,2023-07-01,5,0,2
Banten,2023-08-01,2,0,4
Banten,2023-09-01,4,0,10
Banten,2023-10-01,10,1,13
Banten,2023-11-01,13,0,6
Banten,2023-12-01,6,0,3
Banten,2024-01-01,3,0,4
Banten,2024-02-01,4,0,4
Banten,2024-03-01,4,0,4
Banten,2024-04-01,4,0,12
Banten,2024-05-01,12,0,6
Banten,2024-06-01,6,0,3
Banten,2024-07-01,3,0,12
Banten,2024-08-01,12,0,6
Banten,2024-09-01,6,0,14
Banten,2024-10-01,14,1,14
Banten,2024-11-01,14,0,10
Banten,2024-12-01,10,0,13
Banten,2025-01-01,13,0,NA
Bengkulu,2019-01-01,0,0,1
Bengkulu,2019-02-01,1,0,0
Bengkulu,2019-03-01,0,0,1
Bengkulu,2019-04-01,1,0,2
Bengkulu,2019-05-01,2,0,0
Bengkulu,2019-06-01,0,0,0
Bengkulu,2019-07-01,0,0,0
Bengkulu,2019-08-01,0,0,1
Bengkulu,2019-09-01,1,0,0
Bengkulu,2019-10-01,0,0,0
Bengkulu,2019-11-01,0,0,1
Bengkulu,2019-12-01,1,0,0
Bengkulu,2020-01-01,0,0,1
Bengkulu,2020-02-01,1,1,0
Bengkulu,2020-03-01,0,0,0
Bengkulu,2020-04-01,0,0,0
Bengkulu,2020-05-01,0,0,0
Bengkulu,2020-06-01,0,0,1
Bengkulu,2020-07-01,1,0,0
Bengkulu,2020-08-01,0,0,1
Bengkulu,2020-09-01,1,1,2
Bengkulu,2020-10-01,2,1,0
Bengkulu,2020-11-01,0,0,0
Bengkulu,2020-12-01,0,0,0
Bengkulu,2021-01-01,0,0,1
Bengkulu,2021-02-01,1,0,0
Bengkulu,2021-03-01,0,0,1
Bengkulu,2021-04-01,1,0,0
Bengkulu,2021-05-01,0,0,0
Bengkulu,2021-06-01,0,0,1
Bengkulu,2021-07-01,1,0,0
Bengkulu,2021-08-01,0,0,0
Bengkulu,2021-09-01,0,0,1
Bengkulu,2021-10-01,1,0,0
Bengkulu,2021-11-01,0,0,6
Bengkulu,2021-12-01,6,1,4
Bengkulu,2022-01-01,4,0,0
Bengkulu,2022-02-01,0,0,2
