admin1,week,protest_count,repression_events,repression_fatalities,protest_count_t1,repression_t
Aceh,2020-03-29,1,0,0,0,0
Aceh,2020-04-05,0,0,0,0,0
Aceh,2020-04-12,0,0,0,0,0
Aceh,2020-04-19,0,0,0,0,0
Aceh,2020-04-26,0,0,0,0,0
Aceh,2020-05-03,0,0,0,1,0
Aceh,2020-05-10,1,0,0,3,0
Aceh,2020-05-17,3,0,0,0,0
Aceh,2020-05-24,0,0,0,1,0
Aceh,2020-05-31,1,0,0,2,0
Aceh,2020-06-07,2,0,0,1,0
Aceh,2020-06-14,1,0,0,0,0
Aceh,2020-06-21,0,0,0,0,0
Aceh,2020-06-28,0,0,0,1,0
Aceh,2020-07-05,1,0,0,0,0
Aceh,2020-07-12,0,0,0,2,0
Aceh,2020-07-19,2,0,0,0,0
Aceh,2020-07-26,0,0,0,0,0
Aceh,2020-08-02,0,0,0,1,0
Aceh,2020-08-09,1,0,0,0,0
Aceh,2020-08-16,0,0,0,3,0
Aceh,2020-08-23,3,0,0,0,0
Aceh,2020-08-30,0,0,0,3,0
Aceh,2020-09-06,3,0,0,2,0
Aceh,2020-09-13,2,0,0,2,0
Aceh,2020-09-20,2,0,0,1,0
Aceh,2020-09-27,1,0,0,2,0
Aceh,2020-10-04,2,0,0,2,0
Aceh,2020-10-11,2,0,0,1,0
Aceh,2020-10-18,1,0,0,0,0
Aceh,2020-10-25,0,0,0,3,0
Aceh,2020-11-01,3,0,0,4,0
Aceh,2020-11-08,4,0,0,2,0
Aceh,2020-11-15,2,0,0,1,0
Aceh,2020-11-22,1,0,0,1,0
Aceh,2020-11-29,1,0,0,0,0
Aceh,2020-12-06,0,0,0,1,0
Aceh,2020-12-13,1,1,0,0,1
Aceh,2020-12-20,0,0,0,0,0
Aceh,2020-12-27,0,0,0,0,0
Aceh,2021-01-03,0,0,0,0,0
Aceh,2021-01-10,0,0,0,0,0
Aceh,2021-01-17,0,0,0,1,0
Aceh,2021-01-24,1,0,0,0,0
Aceh,2021-01-31,0,0,0,1,0
Aceh,2021-02-07,1,0,0,1,0
Aceh,2021-02-14,1,0,0,0,0
Aceh,2021-02-21,0,0,0,2,0
Aceh,2021-02-28,2,1,0,1,1
Aceh,2021-03-07,1,0,0,3,0
Aceh,2021-03-14,3,0,0,4,0
Aceh,2021-03-21,4,1,0,0,1
Aceh,2021-03-28,0,0,0,1,0
Aceh,2021-04-04,1,0,0,2,0
Aceh,2021-04-11,2,0,0,1,0
Aceh,2021-04-18,1,0,0,0,0
Aceh,2021-04-25,0,0,0,0,0
Aceh,2021-05-02,0,0,0,0,0
Aceh,2021-05-09,0,0,0,2,0
Aceh,2021-05-16,2,0,0,0,0
Aceh,2021-05-23,0,0,0,0,0
Aceh,2021-05-30,0,0,0,0,0
Aceh,2021-06-06,0,0,0,0,0
Aceh,2021-06-13,0,0,0,3,0
Aceh,2021-06-20,3,0,0,1,0
Aceh,2021-06-27,1,0,0,1,0
Aceh,2021-07-04,1,0,0,0,0
Aceh,2021-07-11,0,0,0,0,0
Aceh,2021-07-18,0,0,0,0,0
Aceh,2021-07-25,0,0,0,1,0
Aceh,2021-08-01,1,0,0,0,0
Aceh,2021-08-08,0,0,0,1,0
Aceh,2021-08-15,1,1,0,2,1
Aceh,2021-08-22,2,0,0,3,0
Aceh,2021-08-29,3,0,0,0,0
Aceh,2021-09-05,0,0,0,0,0
Aceh,2021-09-12,0,0,0,0,0
Aceh,2021-09-19,0,0,0,2,0
Aceh,2021-09-26,2,0,0,0,0
Aceh,2021-10-03,0,0,0,1,0
Aceh,2021-10-10,1,0,0,5,0
Aceh,2021-10-17,5,0,0,1,0
Aceh,2021-10-24,1,0,0,1,0
Aceh,2021-10-31,1,0,0,1,0
Aceh,2021-11-07,1,0,0,2,0
Aceh,2021-11-14,2,0,0,1,0
Aceh,2021-11-21,1,1,0,1,1
Aceh,2021-11-28,1,0,0,3,0
Aceh,2021-12-05,3,1,0,0,1
Aceh,2021-12-12,0,0,0,0,0
Aceh,2021-12-19,0,0,0,1,0
Aceh,2021-12-26,1,0,0,0,0
Aceh,2022-01-02,0,0,0,3,0
Aceh,2022-01-09,3,0,0,1,0
Aceh,2022-01-16,1,0,0,2,0
Aceh,2022-01-23,2,0,0,2,0
Aceh,2022-01-30,2,0,0,3,0
Aceh,2022-02-06,3,0,0,1,0
Aceh,2022-02-13,1,0,0,3,0
Aceh,2022-02-20,3,0,0,7,0
Aceh,2022-02-27,7,0,0,4,0
Aceh,2022-03-06,4,0,0,0,0
Aceh,2022-03-13,0,0,0,3,0
Aceh,2022-03-20,3,0,0,3,0
Aceh,2022-03-27,3,1,0,0,1
Aceh,2022-04-03,0,0,0,4,0
Aceh,2022-04-10,4,0,0,1,0
Aceh,2022-04-17,1,0,0,0,0
Aceh,2022-04-24,0,0,0,1,0
Aceh,2022-05-01,1,0,0,2,0
Aceh,2022-05-08,2,0,0,2,0
Aceh,2022-05-15,2,0,0,0,0
Aceh,2022-05-22,0,0,0,0,0
Aceh,2022-05-29,0,0,0,1,0
Aceh,2022-06-05,1,0,0,1,0
Aceh,2022-06-12,1,0,0,0,0
Aceh,2022-06-19,0,0,0,0,0
Aceh,2022-06-26,0,0,0,0,0
Aceh,2022-07-03,0,0,0,0,0
